,136375BQ4 Corp,278058DB5 Corp,29736RAC4 Corp,20030NAV3 Corp,209111ES8 Corp,773903AE9 Corp,EG6454136 Corp,78409VAB0 Corp,665501AG7 Corp,26882PBE1 Corp,927804FB5 Corp,875127AW2 Corp,45138LAT0 Corp,195869AL6 Corp,010284AN7 Corp,373334GC9 Corp,291641BA5 Corp,90131HBK0 Corp,958587BG1 Corp,15405EAH1 Corp,826418BE4 Corp,20765QAK1 Corp,455434BL3 Corp,035229DC4 Corp,26442CAA2 Corp,59562VAP2 Corp,36962G3A0 Corp,172967EC1 Corp,59022CAJ2 Corp,74432QBD6 Corp
2021-11-15 00:00:00,56.191,127.235,141.195,150.765,139.709,140.731,56.191,142.328,131.069,56.191,56.191,56.191,56.191,136.14,123.595,124.288,132.038,125.072,56.191,56.191,56.191,56.191,56.191,135.641,135.96,135.326,142.173,56.191,134.303,56.191
2021-11-16 00:00:00,56.189,126.959,140.665,150.41,139.025,140.454,56.189,142.011,130.619,56.189,56.189,56.189,56.189,135.821,123.492,124.009,131.811,124.916,56.189,56.189,56.189,56.189,56.189,135.359,135.684,135.288,141.8,56.189,133.123,56.189
2021-11-17 00:00:00,55.402,127.526,140.874,150.42,139.476,141.125,55.402,142.668,131.285,55.402,55.402,55.402,55.402,136.305,123.876,124.576,132.259,125.312,55.402,55.402,55.402,55.402,55.402,135.903,135.672,135.428,142.197,55.402,133.706,55.402
2021-11-18 00:00:00,55.313,127.61,141.169,150.755,139.62,141.204,55.313,142.406,131.603,55.313,55.313,55.313,55.313,136.083,124.297,124.666,132.431,125.506,55.313,55.313,55.313,55.313,55.313,136.049,135.853,135.883,142.641,55.313,133.973,55.313
2021-11-19 00:00:00,54.893,128.178,141.735,151.259,140.233,141.866,54.893,143.058,131.72,54.893,54.893,54.893,54.893,137.211,124.747,125.22,132.993,126.024,54.893,54.893,54.893,54.893,54.893,136.664,136.223,135.98,143.246,54.893,134.337,54.893
2021-11-22 00:00:00,55.143,127.078,140.574,149.951,139.375,140.603,55.143,141.804,130.949,55.143,55.143,55.143,55.143,136.114,124.004,124.14,131.91,125.042,55.143,55.143,55.143,55.143,55.143,135.485,135.152,135.852,142.335,55.143,133.805,55.143
2021-11-23 00:00:00,55.03,126.439,139.843,149.197,138.66,139.863,55.03,141.071,129.828,55.03,55.03,55.03,55.03,134.602,123.027,123.519,130.887,124.013,55.03,55.03,55.03,55.03,55.03,134.808,134.59,134.765,141.587,55.03,133.039,55.03
2021-11-24 00:00:00,54.951,126.987,140.465,149.825,139.215,140.492,54.951,141.69,130.783,54.951,54.951,54.951,54.951,134.999,123.971,124.054,131.737,124.685,54.951,54.951,54.951,54.951,54.951,135.38,135.226,135.326,141.825,54.951,133.148,54.951
2021-11-26 00:00:00,51.707,129.18,142.29,151.999,140.822,142.985,51.707,144.175,131.906,51.707,51.707,51.707,51.707,137.573,125.366,126.19,133.22,126.008,51.707,51.707,51.707,51.707,51.707,137.72,136.968,136.245,143.825,51.707,134.309,51.707
2021-11-29 00:00:00,52.965,128.648,141.669,151.437,139.818,142.377,52.965,143.564,131.078,52.965,52.965,52.965,52.965,135.961,124.817,125.749,132.547,125.663,52.965,52.965,52.965,52.965,52.965,137.142,135.931,136.287,142.722,52.965,134.114,52.965
2021-11-30 00:00:00,50.384,129.105,142.134,151.721,140.625,142.912,50.384,144.096,130.173,50.384,50.384,50.384,50.384,135.994,126.122,126.151,133.57,126.264,50.384,50.384,50.384,50.384,50.384,137.63,136.212,137.16,143.836,50.384,134.877,50.384
2021-12-01 00:00:00,51.697,129.784,142.824,152.079,141.424,143.701,51.697,144.88,128.516,51.697,51.697,51.697,51.697,135.808,126.319,126.362,133.738,126.383,51.697,51.697,51.697,51.697,51.697,138.377,137.571,138.435,143.163,51.697,134.854,51.697
2021-12-02 00:00:00,50.823,129.59,142.349,152.06,141.353,142.358,50.823,144.421,132.002,50.823,50.823,50.823,50.823,136.13,126.042,125.98,133.579,126.275,50.823,50.823,50.823,50.823,50.823,137.821,136.797,137.316,142.218,50.823,134.654,50.823
2021-12-03 00:00:00,51.882,130.408,143.476,153.028,142.366,143.303,51.882,145.572,132.655,51.882,51.882,51.882,51.882,137.745,127.077,126.972,134.432,127.345,51.882,51.882,51.882,51.882,51.882,138.903,137.954,138.322,142.346,51.882,136.483,51.882
2021-12-06 00:00:00,52.149,129.205,142.636,151.622,141.66,141.942,52.149,144.196,132.585,52.149,52.149,52.149,52.149,134.719,126.198,125.788,133.476,126.602,52.149,52.149,52.149,52.149,52.149,137.611,137.427,137.369,140.042,52.149,135.063,52.149
2021-12-07 00:00:00,55.327,128.583,142.217,151.249,140.664,141.237,55.327,143.498,132.88,55.327,55.327,55.327,55.327,134.6,125.971,125.196,133.053,126.431,55.327,55.327,55.327,55.327,55.327,136.96,136.68,137.423,139.359,55.327,135.14,55.327
2021-12-08 00:00:00,55.511,128.04,141.755,150.232,140.196,140.611,55.511,142.866,131.689,55.511,55.511,55.511,55.511,136.097,125.405,124.673,132.33,125.557,55.511,55.511,55.511,55.511,55.511,136.381,136.033,136.272,138.552,55.511,134.48,55.511
2021-12-09 00:00:00,55.183,128.265,142.159,150.37,140.572,140.865,55.183,143.128,132.32,55.183,55.183,55.183,55.183,136.469,125.811,124.894,132.58,125.893,55.183,55.183,55.183,55.183,55.183,136.619,136.156,136.432,138.66,55.183,134.965,55.183
2021-12-10 00:00:00,55.405,128.274,141.952,150.372,140.252,140.858,55.405,143.123,129.255,55.405,55.405,55.405,55.405,136.399,125.648,125.168,132.509,125.902,55.405,55.405,55.405,55.405,55.405,136.619,136.222,136.86,138.665,55.405,134.868,55.405
2021-12-13 00:00:00,54.791,129.12,142.914,151.369,141.199,141.831,54.791,144.095,130.164,54.791,54.791,54.791,54.791,137.36,126.723,125.994,133.356,126.587,54.791,54.791,54.791,54.791,54.791,137.526,136.925,137.576,139.567,54.791,134.956,54.791
2021-12-14 00:00:00,53.724,128.935,142.678,150.767,140.971,141.592,53.724,143.855,130.01,53.724,53.724,53.724,53.724,136.846,126.512,125.808,133.197,126.104,53.724,53.724,53.724,53.724,53.724,136.553,136.431,137.143,139.62,53.724,134.817,53.724
2021-12-15 00:00:00,53.144,128.741,143.761,150.531,140.464,140.524,53.144,143.625,132.059,53.144,53.144,53.144,53.144,136.156,126.124,126.152,132.562,125.626,53.144,53.144,53.144,53.144,53.144,136.353,135.924,136.471,139.162,53.144,134.294,53.144
2021-12-16 00:00:00,54.287,129.319,144.356,151.194,140.887,141.353,54.287,144.312,132.058,54.287,54.287,54.287,54.287,136.045,126.085,126.73,132.705,125.915,54.287,54.287,54.287,54.287,54.287,136.983,136.357,137.395,135.659,54.287,134.887,54.287
2021-12-17 00:00:00,53.924,129.706,144.797,151.299,141.294,141.756,53.924,144.729,132.2,53.924,53.924,53.924,53.924,136.96,126.683,127.112,133.098,126.215,53.924,53.924,53.924,53.924,53.924,137.373,136.53,136.311,138.434,53.924,135.099,53.924
2021-12-20 00:00:00,52.48,129.242,144.247,150.539,140.244,141.223,52.48,144.192,131.616,52.48,52.48,52.48,52.48,135.683,126.092,126.656,132.555,125.535,52.48,52.48,52.48,52.48,52.48,136.876,136.037,135.059,137.927,52.48,133.424,52.48
2021-12-21 00:00:00,52.665,128.792,143.741,150.342,139.857,140.679,52.665,143.662,132.173,52.665,52.665,52.665,52.665,135.529,125.876,126.55,132.211,125.504,52.665,52.665,52.665,52.665,52.665,136.393,136.009,135.387,137.404,52.665,134.124,52.665
2021-12-22 00:00:00,54.185,128.648,143.57,150.305,140.635,140.553,54.185,143.512,132.476,54.185,54.185,54.185,54.185,136.222,126.47,126.407,132.532,125.863,54.185,54.185,54.185,54.185,54.185,136.247,136.282,135.346,136.872,54.185,134.427,54.185
2021-12-23 00:00:00,53.902,128.134,143.014,149.731,139.651,140.009,53.902,142.968,131.616,53.902,53.902,53.902,53.902,135.528,125.442,125.937,131.82,125.45,53.902,53.902,53.902,53.902,53.902,135.739,135.756,135.034,136.348,53.902,134.364,53.902
2021-12-27 00:00:00,54.458,128.435,143.318,150.354,139.979,140.31,54.458,143.266,131.948,54.458,54.458,54.458,54.458,135.93,126.25,126.196,132.02,125.797,54.458,54.458,54.458,54.458,54.458,136.023,136.119,135.727,136.95,54.458,134.45,54.458
2021-12-28 00:00:00,54.837,128.359,143.226,150.507,139.083,140.21,54.837,143.171,131.257,54.837,54.837,54.837,54.837,135.658,126.245,126.124,131.942,125.796,54.837,54.837,54.837,54.837,54.837,135.936,136.036,134.844,136.861,54.837,133.541,54.837
2021-12-29 00:00:00,54.842,127.426,142.156,149.695,138.697,139.495,54.842,142.119,130.788,54.842,54.842,54.842,54.842,134.477,125.359,125.206,131.18,125.082,54.842,54.842,54.842,54.842,54.842,134.968,135.09,134.431,135.867,54.842,134.891,54.842
2021-12-30 00:00:00,55.084,128.052,142.865,150.419,139.369,140.194,55.084,142.795,131.482,55.084,55.084,55.084,55.084,134.835,125.965,125.822,131.779,125.726,55.084,55.084,55.084,55.084,55.084,135.26,136.335,134.812,136.527,55.084,135.53,55.084
2021-12-31 00:00:00,54.301,128.21,143.049,150.614,139.548,140.319,54.301,142.946,131.439,54.301,54.301,54.301,54.301,135.114,126.171,125.918,131.912,125.712,54.301,54.301,54.301,54.301,54.301,135.434,135.437,135.197,136.245,54.301,134.199,54.301
2022-01-03 00:00:00,55.952,126.807,141.424,148.763,138.01,138.795,55.952,141.386,128.153,55.952,55.952,55.952,55.952,133.661,124.835,124.578,130.269,124.064,55.952,55.952,55.952,55.952,55.952,133.95,135.37,134.876,134.574,55.952,133.449,55.952
2022-01-04 00:00:00,57.031,126.378,141.505,148.357,137.913,138.317,57.031,140.908,128.186,57.031,57.031,57.031,57.031,133.764,124.581,123.55,130.14,124.023,57.031,57.031,57.031,57.031,57.031,133.506,135.098,134.893,134.119,57.031,132.489,57.031
2022-01-05 00:00:00,58.656,125.719,140.787,147.622,137.635,137.575,58.656,140.162,128.065,58.656,58.656,58.656,58.656,133.21,124.06,122.901,129.602,123.621,58.656,58.656,58.656,58.656,58.656,132.811,134.863,134.374,135.02,58.656,132.18,58.656
2022-01-06 00:00:00,58.543,125.352,139.622,147.19,137.256,137.192,58.543,139.781,127.088,58.543,58.543,58.543,58.543,132.627,124.012,122.908,129.381,123.372,58.543,58.543,58.543,58.543,58.543,132.408,134.462,134.048,135.253,58.543,131.803,58.543
2022-01-07 00:00:00,58.238,124.872,139.234,146.945,135.725,136.632,58.238,139.211,129.908,58.238,58.238,58.238,58.238,131.991,123.357,122.436,128.768,122.723,58.238,58.238,58.238,58.238,58.238,131.895,133.64,132.966,135.672,58.238,131.505,58.238
2022-01-10 00:00:00,57.735,124.741,139.098,146.8,136.284,136.514,57.735,139.083,126.785,57.735,57.735,57.735,57.735,131.913,123.502,122.306,128.689,122.466,57.735,57.735,57.735,57.735,57.735,131.769,133.3,133.552,135.548,57.735,131.234,57.735
2022-01-11 00:00:00,60.24,125.172,139.653,147.412,136.547,137.465,60.24,139.559,126.851,60.24,60.24,60.24,60.24,132.132,123.86,122.749,129.101,122.834,60.24,60.24,60.24,60.24,60.24,132.218,133.725,133.444,135.995,60.24,131.547,60.24
2022-01-12 00:00:00,61.465,125.173,139.378,147.286,136.005,137.682,61.465,139.545,127.303,61.465,61.465,61.465,61.465,132.397,123.66,122.733,129.042,122.906,61.465,61.465,61.465,61.465,61.465,132.171,133.627,133.758,135.987,61.465,130.143,61.465
2022-01-13 00:00:00,59.621,125.618,139.899,147.708,136.469,138.192,59.621,139.613,127.515,59.621,59.621,59.621,59.621,132.456,124.203,123.171,129.513,123.183,59.621,59.621,59.621,59.621,59.621,132.649,133.799,133.856,135.98,59.621,131.742,59.621
2022-01-14 00:00:00,60.298,124.636,138.475,146.574,135.216,137.074,60.298,138.525,126.499,60.298,60.298,60.298,60.298,131.081,123.118,122.207,128.248,122.102,60.298,60.298,60.298,60.298,60.298,131.605,132.606,132.807,134.757,60.298,130.227,60.298
2022-01-18 00:00:00,60.386,123.59,137.039,145.093,134.431,135.917,60.386,137.345,125.239,60.386,60.386,60.386,60.386,129.276,121.923,121.183,127.041,120.885,60.386,60.386,60.386,60.386,60.386,130.502,131.254,131.498,133.174,60.386,128.982,60.386
2022-01-19 00:00:00,61.482,123.93,137.433,145.494,134.571,136.306,61.482,137.734,125.579,61.482,61.482,61.482,61.482,130.327,122.861,121.515,127.475,121.336,61.482,61.482,61.482,61.482,61.482,130.862,131.724,131.715,132.647,61.482,129.942,61.482
2022-01-20 00:00:00,60.139,124.599,137.816,145.939,134.861,137.06,60.139,139.875,124.91,60.139,60.139,60.139,60.139,130.276,123.142,122.174,127.73,121.316,60.139,60.139,60.139,60.139,60.139,131.551,131.941,132.635,133.709,60.139,129.728,60.139
2022-01-21 00:00:00,59.162,125.012,138.859,146.251,135.235,137.531,59.162,140.347,128.643,59.162,59.162,59.162,59.162,131.16,123.126,122.579,128.26,121.799,59.162,59.162,59.162,59.162,59.162,131.867,132.199,132.923,134.146,59.162,130.018,59.162
2022-01-24 00:00:00,57.479,124.731,138.469,145.921,134.581,137.201,57.479,139.59,128.292,57.479,57.479,57.479,57.479,130.299,122.619,122.179,127.609,121.274,57.479,57.479,57.479,57.479,57.479,131.51,131.739,131.744,132.669,57.479,129.566,57.479
2022-01-25 00:00:00,57.437,124.693,138.067,145.79,134.554,137.168,57.437,139.547,128.446,57.437,57.437,57.437,57.437,130.09,122.298,122.145,127.417,121.125,57.437,57.437,57.437,57.437,57.437,132.762,131.54,132.971,132.91,57.437,129.786,57.437
2022-01-26 00:00:00,58.299,123.815,137.391,144.747,133.908,136.176,58.299,138.583,124.546,58.299,58.299,58.299,58.299,129.321,120.84,121.28,126.357,120.273,58.299,58.299,58.299,58.299,58.299,131.82,130.614,130.987,131.92,58.299,128.913,58.299
2022-01-27 00:00:00,57.766,124.348,137.725,144.963,134.162,136.77,57.766,138.802,125.304,57.766,57.766,57.766,57.766,130.335,122.661,121.806,127.235,120.694,57.766,57.766,57.766,57.766,57.766,132.38,131.048,131.53,132.487,57.766,129.405,57.766
2022-01-28 00:00:00,57.717,124.664,138.08,145.035,134.129,136.526,57.717,139.163,125.44,57.717,57.717,57.717,57.717,128.824,122.52,121.711,127.108,120.809,57.717,57.717,57.717,57.717,57.717,132.466,130.814,131.548,132.056,57.717,128.737,57.717
2022-01-31 00:00:00,57.913,124.531,138.145,144.955,134.354,136.154,57.913,138.901,125.399,57.913,57.913,57.913,57.913,128.419,122.254,120.879,126.995,120.862,57.913,57.913,57.913,57.913,57.913,132.321,130.3,131.008,132.528,57.913,128.896,57.913
2022-02-01 00:00:00,58.63,124.467,137.208,145.286,134.404,136.084,58.63,138.968,124.885,58.63,58.63,58.63,58.63,128.7,122.167,120.764,126.942,120.972,58.63,58.63,58.63,58.63,58.63,131.513,130.247,131.28,130.88,58.63,128.845,58.63
2022-02-02 00:00:00,59.802,124.724,138.015,145.383,134.324,136.174,59.802,139.06,125.13,59.802,59.802,59.802,59.802,128.964,122.476,120.79,127.162,121.173,59.802,59.802,59.802,59.802,59.802,131.602,130.628,131.628,132.601,59.802,129.583,59.802
2022-02-03 00:00:00,59.69,123.91,137.087,144.043,133.39,135.467,59.69,138.333,124.67,59.69,59.69,59.69,59.69,128.412,121.546,120.123,126.363,120.308,59.69,59.69,59.69,59.69,59.69,130.937,129.636,130.354,132.355,59.69,128.323,59.69
2022-02-04 00:00:00,58.666,122.955,135.99,142.43,132.005,134.388,58.666,138.752,123.351,58.666,58.666,58.666,58.666,128.249,120.782,119.181,125.032,119.053,58.666,58.666,58.666,58.666,58.666,129.916,128.741,129.153,130.839,58.666,126.953,58.666
2022-02-07 00:00:00,59.461,122.905,135.931,142.221,132.359,134.307,59.461,138.669,122.587,59.461,59.461,59.461,59.461,128.238,120.226,119.132,125.087,119.082,59.461,59.461,59.461,59.461,59.461,129.84,128.558,128.878,131.073,59.461,126.531,59.461
2022-02-08 00:00:00,59.583,122.391,135.348,141.856,132.074,133.744,59.583,138.099,122.295,59.583,59.583,59.583,59.583,127.796,119.78,118.562,124.601,118.7,59.583,59.583,59.583,59.583,59.583,129.32,127.693,128.68,130.248,59.583,125.575,59.583
2022-02-09 00:00:00,60.321,122.632,135.619,142.098,131.523,133.988,60.321,142.338,122.818,60.321,60.321,60.321,60.321,128.033,120.034,118.791,124.817,119.063,60.321,60.321,60.321,60.321,60.321,129.542,128.024,128.756,130.465,60.321,125.835,60.321
2022-02-10 00:00:00,59.09,121.417,134.25,140.732,130.354,132.666,59.09,140.909,120.885,59.09,59.09,59.09,59.09,126.356,118.774,117.616,123.406,117.675,59.09,59.09,59.09,59.09,59.09,128.289,126.698,127.984,128.958,59.09,125.394,59.09
2022-02-11 00:00:00,58.829,122.627,134.93,141.662,131.225,134.03,58.829,142.355,122.528,58.829,58.829,58.829,58.829,127.081,120.128,118.524,124.867,118.711,58.829,58.829,58.829,58.829,58.829,129.526,127.711,128.13,130.262,58.829,125.949,58.829
2022-02-14 00:00:00,58.915,121.884,133.975,140.696,130.321,133.265,58.915,141.543,121.387,58.915,58.915,58.915,58.915,126.703,118.931,117.71,123.512,117.439,58.915,58.915,58.915,58.915,58.915,128.809,126.557,126.991,128.405,58.915,124.401,58.915
2022-02-15 00:00:00,58.211,120.508,133.092,139.8,129.501,132.378,58.211,140.601,120.251,58.211,58.211,58.211,58.211,126.277,118.171,116.513,122.79,116.96,58.211,58.211,58.211,58.211,58.211,127.944,125.906,126.408,127.818,58.211,124.211,58.211
2022-02-16 00:00:00,58.894,120.693,133.296,139.415,129.283,132.598,58.894,138.375,120.673,58.894,58.894,58.894,58.894,126.774,118.437,116.673,122.897,116.802,58.894,58.894,58.894,58.894,58.894,127.965,125.637,126.146,128.852,58.894,123.299,58.894
2022-02-17 00:00:00,59.11,121.471,134.165,139.749,129.911,133.438,59.11,140.512,121.131,59.11,59.11,59.11,59.11,124.87,117.595,116.929,123.182,117.138,59.11,59.11,59.11,59.11,59.11,128.782,126.263,126.225,129.66,59.11,123.913,59.11
2022-02-18 00:00:00,58.499,121.9,134.654,139.854,129.947,133.143,58.499,141.036,121.438,58.499,58.499,58.499,58.499,125.021,117.671,117.191,123.397,117.308,58.499,58.499,58.499,58.499,58.499,129.245,126.022,127.141,130.134,58.499,124.268,58.499
2022-02-22 00:00:00,57.922,121.743,134.487,139.026,129.283,133.003,57.922,140.317,121.76,57.922,57.922,57.922,57.922,124.606,117.858,117.039,123.33,117.125,57.922,57.922,57.922,57.922,57.922,129.095,125.207,126.214,128.021,57.922,123.405,57.922
2022-02-23 00:00:00,57.746,121.185,132.372,138.034,128.51,131.913,57.746,139.64,120.806,57.746,57.746,57.746,57.746,123.524,116.857,116.334,121.984,115.948,57.746,57.746,57.746,57.746,57.746,128.481,124.182,125.035,127.426,57.746,123.127,57.746
2022-02-24 00:00:00,57.594,121.344,132.136,138.647,127.817,132.083,57.594,139.817,122.387,57.594,57.594,57.594,57.594,122.545,116.702,116.467,121.491,116.003,57.594,57.594,57.594,57.594,57.594,128.66,124.465,125.198,127.582,57.594,121.938,57.594
2022-02-25 00:00:00,57.911,121.424,132.399,138.803,128,132.166,57.911,139.546,121.967,57.911,57.911,57.911,57.911,123.982,116.667,116.326,121.869,116.365,57.911,57.911,57.911,57.911,57.911,128.736,124.702,125.702,127.474,57.911,123.625,57.911
2022-02-28 00:00:00,58.298,122.882,134.016,140.672,129.819,133.81,58.298,141.275,123.573,58.298,58.298,58.298,58.298,125.471,118.643,117.698,123.389,117.757,58.298,58.298,58.298,58.298,58.298,130.288,126.15,127.945,130.908,58.298,125.526,58.298
2022-03-01 00:00:00,59.169,123.394,135.33,142.032,130.971,135.334,59.169,142.648,124.959,59.169,59.169,59.169,59.169,126.855,119.213,118.828,124.278,118.533,59.169,59.169,59.169,59.169,59.169,131.741,126.851,128.156,132.304,59.169,125.972,59.169
2022-03-02 00:00:00,59.413,121.747,133.461,140.138,129.181,133.436,59.413,140.63,122.854,59.413,59.413,59.413,59.413,124.793,117.414,117.005,121.822,116.501,59.413,59.413,59.413,59.413,59.413,129.971,125.515,126.533,130.072,59.413,124.541,59.413
2022-03-03 00:00:00,60.111,121.787,133.517,140.538,129.464,133.538,60.111,140.735,122.463,60.111,60.111,60.111,60.111,125.452,117.969,117.044,122.623,117.315,60.111,60.111,60.111,60.111,60.111,130.041,125.348,127.372,130.095,60.111,124.335,60.111
2022-03-04 00:00:00,60.905,123.358,135.271,141.92,130.914,134.716,60.905,141.084,121.371,60.905,60.905,60.905,60.905,127.698,118.962,118.059,123.607,117.985,60.905,60.905,60.905,60.905,60.905,131.708,125.766,127.305,131.434,60.905,124.45,60.905
2022-03-07 00:00:00,63.288,122.718,134.596,140.628,130.207,134.068,63.288,139.731,120.309,63.288,63.288,63.288,63.288,126.102,117.986,117.108,122.33,116.574,63.288,63.288,63.288,63.288,63.288,131.296,123.453,126.001,129.639,63.288,122.515,63.288
2022-03-08 00:00:00,64.361,121.626,133.055,138.944,128.732,132.933,64.361,138.664,122.344,64.361,64.361,64.361,64.361,126.171,117.036,116.092,121.279,115.285,64.361,64.361,64.361,64.361,64.361,123.691,122.532,124.738,119.135,64.361,121.067,64.361
2022-03-09 00:00:00,64.095,120.288,131.531,137.926,127.56,131.398,64.095,137.572,120.66,64.095,64.095,64.095,64.095,124.434,116.648,114.82,120.755,114.972,64.095,64.095,64.095,64.095,64.095,122.335,121.695,124.318,125.971,64.095,120.417,64.095
2022-03-10 00:00:00,62.806,119.791,131.002,137.356,127.028,130.592,62.806,137.399,120.623,62.806,62.806,62.806,62.806,125.449,115.397,114.367,119.82,113.856,62.806,62.806,62.806,62.806,62.806,121.839,121.11,123.193,124.549,62.806,119.795,62.806
2022-03-11 00:00:00,62.824,119.766,130.958,137.139,124.649,130.547,62.824,137.494,120.658,62.824,62.824,62.824,62.824,125.534,115.973,114.328,119.805,113.85,62.824,62.824,62.824,62.824,62.824,121.042,120.801,122.021,125.622,62.824,119.557,62.824
2022-03-14 00:00:00,61.01,118.059,129.056,135.202,123.168,128.646,61.01,135.496,118.976,61.01,61.01,61.01,61.01,123.955,114.259,112.709,117.816,111.845,61.01,61.01,61.01,61.01,61.01,119.349,119.498,120.279,123.754,61.01,117.533,61.01
2022-03-15 00:00:00,59.326,117.833,128.796,135.263,122.889,128.368,59.326,135.791,118.613,59.326,59.326,59.326,59.326,123.707,114.28,112.496,117.832,112.149,59.326,59.326,59.326,59.326,59.326,119.114,119.135,119.975,123.503,59.326,118.225,59.326
2022-03-16 00:00:00,59.493,117.444,128.848,135.991,123.356,128.333,59.493,136.256,118.549,59.493,59.493,59.493,59.493,123.565,114.943,112.993,118.419,113.295,59.493,59.493,59.493,59.493,59.493,118.712,119.249,122.429,121.723,59.493,119.839,59.493
2022-03-17 00:00:00,61.34,117.387,129.021,137.58,124.031,128.54,61.34,137.03,117.931,61.34,61.34,61.34,61.34,121.435,115.669,113.494,118.775,113.806,61.34,61.34,61.34,61.34,61.34,118.665,119.844,124.404,120.264,61.34,122.079,61.34
2022-03-18 00:00:00,61.656,117.602,129.644,138.308,124.668,128.796,61.656,137.989,119.297,61.656,61.656,61.656,61.656,121.896,116.298,113.895,119.478,114.71,61.656,61.656,61.656,61.656,61.656,118.882,120.677,124.948,120.386,61.656,121.819,61.656
2022-03-21 00:00:00,63.519,116.048,127.685,136.52,123.095,127.079,63.519,136.399,115.804,63.519,63.519,63.519,63.519,120.482,114.758,112.714,117.876,113.261,63.519,63.519,63.519,63.519,63.519,117.366,118.908,122.187,119.495,63.519,119.786,63.519
2022-03-22 00:00:00,64.655,115.163,125.316,135.601,122.488,126.055,64.655,135.62,116.648,64.655,64.655,64.655,64.655,119.715,114.598,112.162,117.276,112.826,64.655,64.655,64.655,64.655,64.655,116.486,118.361,121.451,118.557,64.655,119.024,64.655
2022-03-23 00:00:00,65.507,116.391,126.683,137.052,123.895,127.399,65.507,132.943,117.53,65.507,65.507,65.507,65.507,120.492,115.677,113.494,118.15,113.628,65.507,65.507,65.507,65.507,65.507,117.713,119.219,122.233,120.152,65.507,119.646,65.507
2022-03-24 00:00:00,65.711,115.504,125.514,135,123.305,126.393,65.711,131.359,116.92,65.711,65.711,65.711,65.711,119.739,114.886,112.619,117.55,112.865,65.711,65.711,65.711,65.711,65.711,116.825,117.512,120.263,119.228,65.711,118.377,65.711
2022-03-25 00:00:00,65.716,114.56,124.453,133.897,122.297,125.35,65.716,130.409,114.33,65.716,65.716,65.716,65.716,118.299,114.04,111.698,116.386,111.713,65.716,65.716,65.716,65.716,65.716,115.991,116.596,119.276,118.255,65.716,117.473,65.716
2022-03-28 00:00:00,65.34,114.862,124.848,132.761,122.626,126.116,65.34,130.81,114.983,65.34,65.34,65.34,65.34,118.963,114.594,112.349,116.921,112.291,65.34,65.34,65.34,65.34,65.34,116.328,117.07,120.79,118.553,65.34,117.97,65.34
2022-03-29 00:00:00,65.919,115.525,125.969,133.971,122.95,126.863,65.919,131.016,115.501,65.919,65.919,65.919,65.919,120.142,115.553,113.253,117.752,113.332,65.919,65.919,65.919,65.919,65.919,117.042,117.953,121.376,119.241,65.919,118.903,65.919
2022-03-30 00:00:00,67.764,116.081,126.73,134.612,124.385,127.482,67.764,131.652,117.266,67.764,67.764,67.764,67.764,120.57,116.211,114.102,118.385,113.71,67.764,67.764,67.764,67.764,67.764,119.228,119.239,121.762,120.013,67.764,119.79,67.764
2022-03-31 00:00:00,67.248,116.433,126.898,135.013,125.443,127.89,67.248,131.657,117.377,67.248,67.248,67.248,67.248,120.706,116.671,114.45,118.647,113.732,67.248,67.248,67.248,67.248,67.248,119.752,119.349,123.462,120.366,67.248,119.663,67.248
2022-04-01 00:00:00,67.339,116.531,126.409,134.967,125.155,127.61,67.339,131.362,116.026,67.339,67.339,67.339,67.339,119.744,116.611,114.189,118.41,113.648,67.339,67.339,67.339,67.339,67.339,119.477,119.096,121.206,120.264,67.339,119.042,67.339
2022-04-04 00:00:00,66.708,116.505,126.376,135.291,125.125,127.974,66.708,131.328,115.26,66.708,66.708,66.708,66.708,119.97,116.699,114.528,118.24,113.607,66.708,66.708,66.708,66.708,66.708,119.452,120.395,121.749,120.128,66.708,119.341,66.708
2022-04-05 00:00:00,65.99,114.785,124.762,133.299,122.836,126.893,65.99,129.225,113.204,65.99,65.99,65.99,65.99,117.725,115.316,112.833,116.755,112.219,65.99,65.99,65.99,65.99,65.99,117.711,118.626,120.447,118.348,65.99,117.599,65.99
2022-04-06 00:00:00,64.844,114.172,123.195,132.29,122.415,124.671,64.844,128.394,113.674,64.844,64.844,64.844,64.844,116.771,114.847,112.228,116.274,111.299,64.844,64.844,64.844,64.844,64.844,117.098,119.7,120.185,117.577,64.844,116.138,64.844
2022-04-07 00:00:00,64.579,113.499,122.474,131.16,121.426,123.91,64.579,127.356,112.693,64.579,64.579,64.579,64.579,116.505,114.34,111.857,115.762,110.781,64.579,64.579,64.579,64.579,64.579,116.42,118.989,119.477,116.88,64.579,115.275,64.579
2022-04-08 00:00:00,64.141,112.743,121.949,130.017,120.225,123.055,64.141,126.485,112.107,64.141,64.141,64.141,64.141,115.369,113.462,111.109,114.786,109.762,64.141,64.141,64.141,64.141,64.141,115.651,118.015,118.412,116.095,64.141,113.366,64.141
2022-04-11 00:00:00,64.241,111.677,120.535,127.477,118.624,121.845,64.241,124.752,110.911,64.241,64.241,64.241,64.241,114.35,112.432,109.626,113.786,108.628,64.241,64.241,64.241,64.241,64.241,114.573,116.852,116.765,114.513,64.241,113.279,64.241
